TCA,OpponentQPct,Matches,W,L,T
6,0.97,2,0,0,2
5,0.97,4,0,4,0
4,0.97,3,0,3,0
3,0.97,5,0,5,0
1,0.97,7,0,7,0
0,0.97,1,0,1,0
6,0.96,6,1,0,5
5,0.96,10,1,9,0
4,0.96,19,0,19,0
3,0.96,6,0,6,0
2,0.96,4,0,4,0
1,0.96,2,0,2,0
6,0.95,22,6,0,16
5,0.95,36,3,25,8
4,0.95,27,1,25,1
3,0.95,11,0,11,0
6,0.94,17,3,0,14
5,0.94,30,3,22,5
4,0.94,14,0,14,0
3,0.94,9,0,9,0
2,0.94,4,0,4,0
1,0.94,1,0,1,0
6,0.93,35,11,0,24
5,0.93,82,13,53,16
4,0.93,55,3,47,5
3,0.93,29,1,27,1
2,0.93,8,0,8,0
1,0.93,2,0,2,0
0,0.93,1,0,1,0
6,0.92,45,14,0,31
5,0.92,84,14,53,17
4,0.92,53,3,46,4
3,0.92,21,0,21,0
2,0.92,8,0,8,0
1,0.92,2,0,2,0
0,0.92,1,0,1,0
6,0.91,40,19,0,21
5,0.91,74,14,50,10
4,0.91,50,2,46,2
3,0.91,32,1,30,1
2,0.91,12,0,12,0
1,0.91,6,0,6,0
0,0.91,1,0,1,0
6,0.90,47,20,0,27
5,0.90,86,17,53,16
4,0.90,55,7,41,7
3,0.90,19,0,19,0
2,0.90,5,0,4,1
1,0.90,4,0,4,0
0,0.90,1,0,1,0
6,0.89,105,51,0,54
5,0.89,175,33,114,28
4,0.89,149,5,125,19
3,0.89,78,5,72,1
2,0.89,34,0,34,0
1,0.89,14,0,14,0
0,0.89,4,0,4,0
6,0.88,66,33,0,33
5,0.88,98,27,56,15
4,0.88,69,7,56,6
3,0.88,36,1,32,3
2,0.88,9,0,9,0
1,0.88,1,0,1,0
0,0.88,3,0,3,0
6,0.87,92,43,0,49
5,0.87,146,39,79,28
4,0.87,99,11,83,5
3,0.87,45,0,44,1
2,0.87,19,1,18,0
1,0.87,4,0,4,0
0,0.87,1,0,1,0
6,0.86,117,71,0,46
5,0.86,222,72,105,45
4,0.86,156,13,126,17
3,0.86,71,1,68,2
2,0.86,32,0,31,1
1,0.86,13,0,13,0
0,0.86,10,0,10,0
6,0.85,163,103,0,60
5,0.85,323,112,146,65
4,0.85,241,19,195,27
3,0.85,110,3,101,6
2,0.85,35,1,33,1
1,0.85,17,0,17,0
0,0.85,7,0,7,0
6,0.84,81,51,0,30
5,0.84,141,50,62,29
4,0.84,115,14,89,12
3,0.84,48,2,43,3
2,0.84,16,0,16,0
1,0.84,4,0,4,0
0,0.84,2,0,2,0
6,0.83,186,125,0,61
5,0.83,344,109,158,77
4,0.83,276,36,199,41
3,0.83,112,9,97,6
2,0.83,48,1,45,2
1,0.83,8,0,8,0
0,0.83,4,0,4,0
6,0.82,71,44,0,27
5,0.82,151,67,62,22
4,0.82,112,15,89,8
3,0.82,64,1,62,1
2,0.82,20,0,18,2
1,0.82,10,0,10,0
0,0.82,6,0,6,0
6,0.81,125,91,0,34
5,0.81,283,115,112,56
4,0.81,214,30,147,37
3,0.81,95,6,81,8
2,0.81,49,0,49,0
1,0.81,17,0,17,0
0,0.81,5,0,5,0
6,0.80,125,85,0,40
5,0.80,268,118,111,39
4,0.80,156,36,98,22
3,0.80,99,7,86,6
2,0.80,26,0,25,1
1,0.80,10,0,10,0
0,0.80,2,0,2,0
6,0.79,251,181,0,70
5,0.79,393,174,133,86
4,0.79,385,73,249,63
3,0.79,174,14,150,10
2,0.79,53,4,47,2
1,0.79,9,0,9,0
6,0.78,139,100,0,39
5,0.78,204,72,84,48
4,0.78,202,44,128,30
3,0.78,108,12,86,10
2,0.78,50,0,49,1
1,0.78,27,0,27,0
0,0.78,12,0,12,0
6,0.77,241,187,0,54
5,0.77,457,220,142,95
4,0.77,456,114,274,68
3,0.77,242,18,202,22
2,0.77,104,4,97,3
1,0.77,41,0,40,1
0,0.77,16,0,16,0
6,0.76,130,103,0,27
5,0.76,282,147,91,44
4,0.76,262,67,149,46
3,0.76,164,19,135,10
2,0.76,59,2,56,1
1,0.76,21,1,20,0
0,0.76,13,0,13,0
6,0.75,241,197,0,44
5,0.75,506,253,151,102
4,0.75,521,128,322,71
3,0.75,298,22,246,30
2,0.75,129,6,118,5
