TCA,Wins,Matches,RundleQPct,Level,Rundle
6,70,82,0.736,A,"A Alpine"
6,78,114,0.737,A,"A Arcadia"
6,58,60,0.682,A,"A Atlantic"
6,122,168,0.805,A,"A Badlands"
6,104,176,0.794,A,"A Bayou"
6,121,169,0.786,A,"A Cascade"
6,109,161,0.792,A,"A Central"
6,82,101,0.734,A,"A Coastal"
6,133,196,0.807,A,"A Continental"
6,89,119,0.741,A,"A Corridor"
6,97,131,0.765,A,"A Fjord"
6,117,144,0.774,A,"A Frontier"
6,103,129,0.741,A,"A Highland"
6,115,164,0.792,A,"A Horizon"
6,111,156,0.786,A,"A Laguna"
6,85,106,0.744,A,"A Magnolia"
6,119,134,0.764,A,"A Maritime"
6,70,93,0.733,A,"A Memorial"
6,65,80,0.707,A,"A Meridian"
6,73,96,0.708,A,"A Metro"
6,99,135,0.774,A,"A Midland"
6,81,106,0.707,A,"A Morningstar"
6,90,105,0.719,A,"A Pacific"
6,105,148,0.776,A,"A Piedmont"
6,77,96,0.717,A,"A Plaza"
6,52,53,0.676,A,"A Seaboard"
6,100,137,0.762,A,"A Sequoia"
6,63,74,0.703,A,"A Sierra"
6,75,97,0.736,A,"A Skyline"
6,92,128,0.748,A,"A Sugarloaf"
6,106,136,0.756,A,"A Tundra"
6,22,25,0.618,B,"B Alpine"
6,32,37,0.648,B,"B Arcadia"
6,47,52,0.638,B,"B Atlantic"
6,53,61,0.678,B,"B Badlands"
6,58,63,0.673,B,"B Bayou"
6,39,44,0.634,B,"B Cascade"
6,50,62,0.693,B,"B Central"
6,28,30,0.634,B,"B Coastal"
6,43,52,0.664,B,"B Continental"
6,15,17,0.569,B,"B Corridor"
6,40,40,0.634,B,"B Fjord"
6,39,45,0.651,B,"B Frontier"
6,22,22,0.574,B,"B Highland"
6,35,37,0.631,B,"B Horizon"
6,38,47,0.656,B,"B Laguna"
6,84,102,0.737,B,"B Magnolia"
6,35,39,0.630,B,"B Maritime"
6,20,21,0.565,B,"B Memorial"
6,38,43,0.642,B,"B Meridian"
6,17,19,0.557,B,"B Metro"
6,28,30,0.620,B,"B Midland"
6,44,48,0.644,B,"B Morningstar"
6,48,56,0.660,B,"B Pacific"
6,31,33,0.641,B,"B Piedmont"
6,22,22,0.610,B,"B Plaza"
6,18,18,0.562,B,"B Seaboard"
6,42,45,0.612,B,"B Sequoia"
6,31,33,0.614,B,"B Sierra"
6,21,26,0.617,B,"B Skyline"
6,30,32,0.617,B,"B Sugarloaf"
6,33,35,0.625,B,"B Tundra"
6,5,5,0.529,C,"C Alpine Div 1"
6,8,8,0.540,C,"C Alpine Div 2"
6,26,26,0.565,C,"C Arcadia Div 1"
6,17,20,0.573,C,"C Arcadia Div 2"
6,1,1,0.455,C,"C Atlantic Div 1"
6,4,6,0.504,C,"C Atlantic Div 2"
6,9,9,0.539,C,"C Badlands Div 1"
6,6,6,0.554,C,"C Badlands Div 2"
6,13,13,0.552,C,"C Bayou Div 1"
6,18,18,0.544,C,"C Bayou Div 2"
6,14,16,0.551,C,"C Cascade Div 1"
6,10,12,0.514,C,"C Cascade Div 2"
6,20,22,0.592,C,"C Central"
6,9,9,0.550,C,"C Coastal"
6,18,18,0.573,C,"C Continental Div 1"
6,10,10,0.539,C,"C Continental Div 2"
6,3,3,0.480,C,"C Corridor Div 1"
6,4,4,0.459,C,"C Corridor Div 2"
6,12,13,0.524,C,"C Fjord"
6,16,16,0.563,C,"C Frontier"
6,4,4,0.485,C,"C Highland Div 1"
6,7,7,0.485,C,"C Highland Div 2"
6,8,10,0.537,C,"C Horizon Div 1"
6,11,13,0.568,C,"C Horizon Div 2"
6,13,13,0.549,C,"C Laguna Div 1"
6,8,8,0.532,C,"C Laguna Div 2"
6,18,18,0.554,C,"C Magnolia Div 1"
6,15,15,0.563,C,"C Magnolia Div 2"
6,8,8,0.521,C,"C Maritime"
6,17,17,0.587,C,"C Memorial Div 1"
6,6,6,0.476,C,"C Memorial Div 2"
6,11,13,0.539,C,"C Meridian Div 1"
6,5,5,0.521,C,"C Meridian Div 2"
6,4,4,0.514,C,"C Metro"
6,8,8,0.502,C,"C Midland Div 1"
6,12,14,0.554,C,"C Midland Div 2"
