TCA,RundleQPct,Rundle,Matches,W,L,T
6,0.728,"A Alpine",86,69,0,17
5,0.728,"A Alpine",218,122,64,32
4,0.728,"A Alpine",199,64,100,35
3,0.728,"A Alpine",104,11,78,15
2,0.728,"A Alpine",25,0,22,3
1,0.728,"A Alpine",1,0,1,0
0,0.728,"A Alpine",1,0,1,0
6,0.756,"A Arcadia",102,77,0,25
5,0.756,"A Arcadia",245,122,63,60
4,0.756,"A Arcadia",197,49,118,30
3,0.756,"A Arcadia",70,8,57,5
2,0.756,"A Arcadia",13,0,13,0
1,0.756,"A Arcadia",5,0,5,0
6,0.732,"A Archipelago",135,100,0,35
5,0.732,"A Archipelago",195,102,59,34
4,0.732,"A Archipelago",167,46,104,17
3,0.732,"A Archipelago",96,20,62,14
2,0.732,"A Archipelago",44,3,37,4
1,0.732,"A Archipelago",9,0,9,0
6,0.712,"A Atlantic",96,75,0,21
5,0.712,"A Atlantic",199,115,60,24
4,0.712,"A Atlantic",171,61,90,20
3,0.712,"A Atlantic",99,13,76,10
2,0.712,"A Atlantic",32,3,26,3
1,0.712,"A Atlantic",2,0,2,0
0,0.712,"A Atlantic",13,0,13,0
6,0.804,"A Badlands",174,125,0,49
5,0.804,"A Badlands",258,105,105,48
4,0.804,"A Badlands",151,29,107,15
3,0.804,"A Badlands",52,4,40,8
2,0.804,"A Badlands",10,0,10,0
1,0.804,"A Badlands",1,0,1,0
6,0.819,"A Bayou",191,117,0,74
5,0.819,"A Bayou",256,97,95,64
4,0.819,"A Bayou",144,24,106,14
3,0.819,"A Bayou",38,4,34,0
2,0.819,"A Bayou",8,0,6,2
1,0.819,"A Bayou",1,0,1,0
6,0.760,"A Cascade",107,95,0,12
5,0.760,"A Cascade",232,112,68,52
4,0.760,"A Cascade",167,35,107,25
3,0.760,"A Cascade",79,11,62,6
2,0.760,"A Cascade",14,0,13,1
1,0.760,"A Cascade",3,0,3,0
6,0.792,"A Central",155,113,0,42
5,0.792,"A Central",230,103,83,44
4,0.792,"A Central",162,29,106,27
3,0.792,"A Central",52,4,45,3
2,0.792,"A Central",12,0,12,0
1,0.792,"A Central",3,0,3,0
6,0.731,"A Coastal",118,80,0,38
5,0.731,"A Coastal",234,127,70,37
4,0.731,"A Coastal",207,63,113,31
3,0.731,"A Coastal",85,14,61,10
2,0.731,"A Coastal",23,2,21,0
1,0.731,"A Coastal",6,0,6,0
0,0.731,"A Coastal",15,0,15,0
6,0.767,"A Continental",136,90,0,46
5,0.767,"A Continental",252,117,88,47
4,0.767,"A Continental",140,39,86,15
3,0.767,"A Continental",63,6,50,7
2,0.767,"A Continental",13,0,12,1
1,0.767,"A Continental",2,0,2,0
0,0.767,"A Continental",14,0,14,0
6,0.716,"A Corridor",83,65,0,18
5,0.716,"A Corridor",206,115,43,48
4,0.716,"A Corridor",217,65,108,44
3,0.716,"A Corridor",96,12,74,10
2,0.716,"A Corridor",28,2,24,2
1,0.716,"A Corridor",10,0,10,0
6,0.769,"A Fjord",138,104,0,34
5,0.769,"A Fjord",273,130,91,52
4,0.769,"A Fjord",183,42,115,26
3,0.769,"A Fjord",72,7,57,8
2,0.769,"A Fjord",22,1,19,2
1,0.769,"A Fjord",2,0,2,0
6,0.796,"A Frontier",168,112,0,56
5,0.796,"A Frontier",242,106,92,44
4,0.796,"A Frontier",150,36,99,15
3,0.796,"A Frontier",59,2,52,5
2,0.796,"A Frontier",11,0,11,0
1,0.796,"A Frontier",2,0,2,0
6,0.715,"A Glacier",79,62,0,17
5,0.715,"A Glacier",214,121,50,43
4,0.715,"A Glacier",192,57,95,40
3,0.715,"A Glacier",104,16,77,11
2,0.715,"A Glacier",34,0,29,5
1,0.715,"A Glacier",5,0,5,0
6,0.725,"A Highland",94,69,0,25
