Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
73,25,AakerJ,6,16,3,15,-30,60,52,1.15384615385,26,0.295454545455,0.346666666667,90,66,1.36363636364,39,0.59375,-13,0.642121212121,0.940416666667,0.889204545455,0,0,3,20,D Pacific Div 1,21,Pacific,BondT
73,25,AakhusC,2,19,4,2,-59,30,32,0.9375,15,0.227272727273,0.280701754386,89,63,1.4126984127,42,0.557894736842,-27,0.507974481659,0.838596491228,0.785167464115,1,6,1,16,R Midland Div 1,19,Midland,WeberE
73,25,AaronsA,5,18,2,11,-61,19,15,1.26666666667,15,0.405405405405,0.104166666667,80,58,1.37931034483,35,0.583333333333,-20,0.509572072072,0.6875,0.988738738739,2,1,1,22,R Delta Div 2,16,Delta,O'Mahoney-SchwartzD
73,25,Aas S,6,13,6,18,-28,99,68,1.45588235294,48,0.470588235294,0.453333333333,127,86,1.47674418605,47,0.520408163265,1,0.923921568627,0.973741496599,0.990996398559,0,0,9,16,B Memorial,25,Memorial,WestJ
73,25,AastorpH,11,12,2,24,-10,132,102,1.29411764706,17,0.223684210526,0.68,142,104,1.36538461538,30,0.659090909091,-13,0.903684210526,1.33909090909,0.882775119617,0,0,11,3,A Meridian,15,Meridian,AastorpH
73,25,AbdalianA,16,9,0,32,29,125,92,1.35869565217,31,0.352272727273,0.613333333333,96,76,1.26315789474,31,0.683673469388,0,0.965606060606,1.29700680272,1.03594619666,0,0,9,10,C Glacier,3,Glacier,AbdalianA
73,25,AbelM,6,15,4,15,-21,47,44,1.06818181818,22,0.268292682927,0.305555555556,68,44,1.54545454545,44,0.47619047619,-22,0.573848238482,0.781746031746,0.744483159117,0,1,4,7,E Meridian Div 2,18,Meridian,AastorpH
73,25,AbelT,11,11,3,25,2,118,88,1.34090909091,37,0.362745098039,0.586666666667,116,83,1.39759036145,38,0.591397849462,-1,0.949411764706,1.17806451613,0.954142947502,0,0,10,11,C Magnolia Div 2,8,Magnolia,HillT
73,25,AbernethyD,12,9,4,25,5,126,95,1.32631578947,23,0.291139240506,0.719696969697,121,84,1.44047619048,42,0.553191489362,-19,1.0108362102,1.27288845906,0.844330729868,1,3,7,6,B Pacific,12,Pacific,BarnesMRaff
73,25,AbonamahA,13,11,1,26,9,86,75,1.14666666667,26,0.247619047619,0.520833333333,77,67,1.14925373134,27,0.732673267327,-1,0.768452380952,1.25350660066,0.980292314946,2,1,5,3,D Frontier Div 2,11,Frontier,JayI
73,25,AbonamahJ,11,11,3,25,-2,90,65,1.38461538462,47,0.43119266055,0.433333333333,92,68,1.35294117647,35,0.611111111111,12,0.864525993884,1.04444444444,1.04230377166,0,0,9,13,R Frontier Div 1,11,Frontier,JayI
