6,0.97,1,0,0,1
5,0.97,3,0,3,0
4,0.97,3,0,3,0
3,0.97,8,0,8,0
2,0.97,2,0,2,0
1,0.97,3,0,3,0
0,0.97,1,0,1,0
6,0.96,3,0,0,3
5,0.96,9,1,7,1
4,0.96,5,0,4,1
3,0.96,6,0,6,0
2,0.96,1,0,1,0
1,0.96,1,0,1,0
6,0.94,4,2,0,2
5,0.94,12,1,6,5
4,0.94,3,0,3,0
3,0.94,5,0,5,0
2,0.94,1,0,1,0
6,0.93,9,5,0,4
5,0.93,23,0,18,5
4,0.93,12,2,9,1
3,0.93,4,0,4,0
2,0.93,1,0,1,0
0,0.93,1,0,1,0
6,0.92,52,15,0,37
5,0.92,73,22,45,6
4,0.92,47,2,40,5
3,0.92,32,0,32,0
2,0.92,9,0,9,0
0,0.92,2,0,2,0
6,0.91,49,20,0,29
5,0.91,79,18,50,11
4,0.91,69,4,61,4
3,0.91,30,0,28,2
2,0.91,11,0,11,0
1,0.91,3,0,3,0
0,0.91,2,0,2,0
6,0.90,47,15,0,32
5,0.90,86,21,55,10
4,0.90,63,5,54,4
3,0.90,29,1,27,1
2,0.90,8,0,8,0
1,0.90,2,0,2,0
0,0.90,4,0,4,0
6,0.89,38,19,0,19
5,0.89,64,15,35,14
4,0.89,58,5,46,7
3,0.89,15,0,15,0
2,0.89,12,0,12,0
1,0.89,6,0,6,0
0,0.89,4,0,4,0
6,0.88,74,31,0,43
5,0.88,129,31,73,25
4,0.88,113,6,92,15
3,0.88,54,1,52,1
2,0.88,15,0,15,0
1,0.88,6,0,6,0
0,0.88,2,0,2,0
6,0.87,89,37,0,52
5,0.87,168,49,81,38
4,0.87,132,11,107,14
3,0.87,64,1,62,1
2,0.87,31,1,30,0
1,0.87,9,0,9,0
0,0.87,5,0,5,0
6,0.86,52,31,0,21
5,0.86,102,28,51,23
4,0.86,74,6,58,10
3,0.86,39,2,35,2
2,0.86,19,0,19,0
1,0.86,9,0,9,0
0,0.86,9,0,9,0
6,0.85,109,49,0,60
5,0.85,187,55,97,35
4,0.85,147,20,105,22
3,0.85,74,2,69,3
2,0.85,33,0,33,0
1,0.85,6,0,6,0
0,0.85,2,0,2,0
6,0.84,94,55,0,39
5,0.84,171,63,65,43
4,0.84,139,20,105,14
3,0.84,56,3,49,4
2,0.84,23,1,22,0
1,0.84,6,0,6,0
0,0.84,7,0,7,0
6,0.83,164,93,0,71
5,0.83,324,132,127,65
4,0.83,268,42,186,40
3,0.83,128,8,116,4
2,0.83,38,0,38,0
1,0.83,10,0,10,0
0,0.83,11,0,11,0
6,0.82,119,67,0,52
5,0.82,248,94,110,44
4,0.82,188,28,139,21
3,0.82,90,5,81,4
2,0.82,34,2,31,1
1,0.82,12,0,12,0
0,0.82,8,0,8,0
6,0.81,259,174,0,85
5,0.81,448,179,181,88
4,0.81,336,48,246,42
3,0.81,181,13,155,13
2,0.81,75,0,72,3
1,0.81,17,0,17,0
0,0.81,11,0,11,0
6,0.80,136,90,0,46
5,0.80,255,114,89,52
4,0.80,226,45,151,30
3,0.80,113,5,100,8
2,0.80,49,0,49,0
1,0.80,29,0,29,0
0,0.80,14,0,14,0
6,0.79,229,164,0,65
5,0.79,491,211,165,115
4,0.79,388,70,264,54
3,0.79,208,15,179,14
2,0.79,81,0,76,5
1,0.79,21,0,21,0
0,0.79,15,0,15,0
6,0.78,169,113,0,56
5,0.78,360,169,124,67
4,0.78,324,67,207,50
3,0.78,215,15,188,12
2,0.78,83,1,81,1
1,0.78,24,0,24,0
0,0.78,10,0,10,0
6,0.77,219,147,0,72
5,0.77,426,206,140,80
4,0.77,424,102,261,61
3,0.77,195,18,169,8
2,0.77,131,3,122,6
1,0.77,55,0,55,0
0,0.77,20,0,20,0
6,0.76,216,160,0,56
5,0.76,496,256,166,74
4,0.76,433,111,255,67
3,0.76,215,26,169,20
2,0.76,85,1,78,6
1,0.76,27,1,26,0
0,0.76,13,0,13,0
6,0.75,233,178,0,55
5,0.75,539,280,154,105
4,0.75,485,145,269,71
3,0.75,262,25,207,30
2,0.75,111,2,107,2
1,0.75,37,0,37,0
0,0.75,18,0,18,0
6,0.74,154,118,0,36
5,0.74,323,175,82,66
4,0.74,384,111,199,74
3,0.74,207,26,162,19
2,0.74,117,3,111,3
1,0.74,33,0,31,2
0,0.74,21,0,21,0
6,0.73,300,239,0,61
5,0.73,638,359,175,104
4,0.73,649,191,350,108
3,0.73,376,55,275,46
2,0.73,184,10,166,8
1,0.73,87,1,85,1
0,0.73,38,0,38,0
6,0.72,143,116,0,27
5,0.72,360,204,88,68
4,0.72,360,99,189,72
3,0.72,237,30,176,31
2,0.72,99,4,90,5
1,0.72,40,1,39,0
0,0.72,11,0,11,0
6,0.71,259,196,0,63
5,0.71,669,389,174,106
4,0.71,743,252,355,136
3,0.71,491,74,353,64
2,0.71,215,13,186,16
1,0.71,81,1,80,0
0,0.71,38,0,38,0
6,0.70,150,120,0,30
5,0.70,394,244,82,68
4,0.70,466,157,227,82
3,0.70,340,45,252,43
2,0.70,166,8,149,9
1,0.70,79,3,76,0
0,0.70,31,0,31,0
6,0.69,300,251,0,49
5,0.69,763,468,174,121
4,0.69,885,308,421,156
3,0.69,589,105,422,62
2,0.69,295,19,253,23
1,0.69,106,0,104,2
0,0.69,43,0,43,0
6,0.68,208,187,0,21
5,0.68,507,323,113,71
4,0.68,570,228,261,81
3,0.68,406,77,272,57
2,0.68,224,12,189,23
1,0.68,108,0,104,4
0,0.68,34,0,34,0
6,0.67,312,257,0,55
5,0.67,942,584,199,159
4,0.67,1170,472,496,202
3,0.67,863,156,585,122
2,0.67,450,30,386,34
1,0.67,155,1,148,6
0,0.67,46,0,46,0
6,0.66,135,116,0,19
5,0.66,411,248,86,77
4,0.66,498,209,202,87
3,0.66,462,92,311,59
2,0.66,231,16,190,25
1,0.66,80,0,79,1
0,0.66,28,0,28,0
6,0.65,268,236,0,32
5,0.65,850,558,141,151
4,0.65,1164,461,480,223
3,0.65,918,199,592,127
2,0.65,510,47,413,50
1,0.65,162,2,156,4
0,0.65,46,0,45,1
6,0.64,115,101,0,14
5,0.64,387,251,74,62
4,0.64,514,235,196,83
3,0.64,505,117,317,71
2,0.64,278,22,222,34
1,0.64,119,4,111,4
0,0.64,26,0,26,0
6,0.63,160,138,0,22
5,0.63,555,371,87,97
4,0.63,875,370,339,166
3,0.63,825,191,523,111
2,0.63,522,53,422,47
1,0.63,234,5,220,9
0,0.63,70,0,68,2
6,0.62,97,84,0,13
5,0.62,406,261,83,62
4,0.62,552,285,183,84
3,0.62,520,134,319,67
2,0.62,291,32,228,31
1,0.62,124,8,104,12
0,0.62,32,0,32,0
6,0.61,167,149,0,18
5,0.61,655,460,104,91
4,0.61,1073,516,384,173
3,0.61,1043,267,639,137
2,0.61,619,76,461,82
1,0.61,242,8,220,14
0,0.61,44,0,44,0
6,0.60,95,89,0,6
5,0.60,392,272,68,52
4,0.60,652,318,223,111
3,0.60,705,199,406,100
2,0.60,461,60,358,43
1,0.60,178,8,156,14
