6,0.753,"A Alpine",108,84,0,24
5,0.753,"A Alpine",237,114,81,42
4,0.753,"A Alpine",176,44,99,33
3,0.753,"A Alpine",76,12,55,9
2,0.753,"A Alpine",23,3,18,2
1,0.753,"A Alpine",4,0,4,0
6,0.722,"A Arcadia",91,70,0,21
5,0.722,"A Arcadia",193,111,54,28
4,0.722,"A Arcadia",213,72,109,32
3,0.722,"A Arcadia",104,16,77,11
2,0.722,"A Arcadia",27,0,25,2
1,0.722,"A Arcadia",4,0,4,0
6,0.731,"A Archipelago",119,82,0,37
5,0.731,"A Archipelago",195,99,56,40
4,0.731,"A Archipelago",177,54,93,30
3,0.731,"A Archipelago",99,19,67,13
2,0.731,"A Archipelago",39,2,35,2
1,0.731,"A Archipelago",5,0,5,0
6,0.700,"A Atlantic",66,46,0,20
5,0.700,"A Atlantic",204,128,46,30
4,0.700,"A Atlantic",223,72,115,36
3,0.700,"A Atlantic",111,23,72,16
2,0.700,"A Atlantic",34,2,30,2
1,0.700,"A Atlantic",6,0,6,0
0,0.700,"A Atlantic",2,0,2,0
6,0.788,"A Badlands",146,93,0,53
5,0.788,"A Badlands",245,112,89,44
4,0.788,"A Badlands",168,44,106,18
3,0.788,"A Badlands",49,3,45,1
2,0.788,"A Badlands",15,2,13,0
1,0.788,"A Badlands",1,0,1,0
6,0.783,"A Bayou",165,104,0,61
5,0.783,"A Bayou",273,118,102,53
4,0.783,"A Bayou",132,20,87,25
3,0.783,"A Bayou",35,7,26,2
2,0.783,"A Bayou",7,0,6,1
1,0.783,"A Bayou",3,0,3,0
0,0.783,"A Bayou",25,0,25,0
6,0.730,"A Cascade",91,62,0,29
5,0.730,"A Cascade",206,116,52,38
4,0.730,"A Cascade",205,65,102,38
3,0.730,"A Cascade",90,10,72,8
2,0.730,"A Cascade",27,1,25,1
1,0.730,"A Cascade",3,0,3,0
6,0.780,"A Central",127,86,0,41
5,0.780,"A Central",248,118,80,50
4,0.780,"A Central",163,41,105,17
3,0.780,"A Central",56,4,48,4
2,0.780,"A Central",14,0,14,0
1,0.780,"A Central",2,0,2,0
6,0.729,"A Coastal",111,81,0,30
5,0.729,"A Coastal",221,119,67,35
4,0.729,"A Coastal",213,70,117,26
3,0.729,"A Coastal",107,15,69,23
2,0.729,"A Coastal",32,2,30,0
1,0.729,"A Coastal",3,0,3,0
0,0.729,"A Coastal",1,0,1,0
6,0.743,"A Continental",110,74,0,36
5,0.743,"A Continental",224,123,58,43
4,0.743,"A Continental",189,50,110,29
3,0.743,"A Continental",78,14,62,2
2,0.743,"A Continental",31,1,28,2
1,0.743,"A Continental",4,0,4,0
6,0.671,"A Corridor",61,51,0,10
5,0.671,"A Corridor",165,101,38,26
4,0.671,"A Corridor",217,78,93,46
3,0.671,"A Corridor",127,29,81,17
2,0.671,"A Corridor",55,6,44,5
1,0.671,"A Corridor",7,0,7,0
0,0.671,"A Corridor",2,0,2,0
6,0.746,"A Delta",110,81,0,29
5,0.746,"A Delta",225,128,68,29
4,0.746,"A Delta",183,47,100,36
3,0.746,"A Delta",94,7,79,8
2,0.746,"A Delta",19,2,15,2
1,0.746,"A Delta",2,0,2,0
0,0.746,"A Delta",1,0,1,0
6,0.776,"A Fjord",141,100,0,41
5,0.776,"A Fjord",233,107,78,48
4,0.776,"A Fjord",180,42,109,29
3,0.776,"A Fjord",57,6,47,4
2,0.776,"A Fjord",17,0,17,0
1,0.776,"A Fjord",4,0,4,0
6,0.761,"A Frontier",131,88,0,43
5,0.761,"A Frontier",225,111,71,43
4,0.761,"A Frontier",171,39,94,38
3,0.761,"A Frontier",72,8,56,8
2,0.761,"A Frontier",24,2,22,0
1,0.761,"A Frontier",5,0,5,0
6,0.728,"A Garden",95,66,0,29
5,0.728,"A Garden",206,114,64,28
4,0.728,"A Garden",194,61,86,47
3,0.728,"A Garden",86,8,69,9
2,0.728,"A Garden",26,1,24,1
1,0.728,"A Garden",8,1,7,0
0,0.728,"A Garden",1,0,1,0
6,0.732,"A Glacier",92,76,0,16
5,0.732,"A Glacier",218,108,70,40
4,0.732,"A Glacier",199,61,96,42
3,0.732,"A Glacier",79,9,58,12
2,0.732,"A Glacier",37,1,30,6
1,0.732,"A Glacier",1,0,1,0
6,0.668,"A Highland",65,52,0,13
5,0.668,"A Highland",171,104,35,32
4,0.668,"A Highland",194,79,91,24
3,0.668,"A Highland",127,31,78,18
2,0.668,"A Highland",67,4,56,7
1,0.668,"A Highland",9,0,9,0
0,0.668,"A Highland",1,0,1,0
6,0.788,"A Horizon",186,121,0,65
5,0.788,"A Horizon",266,127,95,44
4,0.788,"A Horizon",195,48,130,17
3,0.788,"A Horizon",66,5,59,2
2,0.788,"A Horizon",19,1,18,0
6,0.782,"A Juniper",147,101,0,46
5,0.782,"A Juniper",256,123,94,39
4,0.782,"A Juniper",153,36,101,16
3,0.782,"A Juniper",68,6,57,5
2,0.782,"A Juniper",12,1,11,0
1,0.782,"A Juniper",4,0,4,0
6,0.771,"A Laguna",148,105,0,43
5,0.771,"A Laguna",259,117,98,44
4,0.771,"A Laguna",184,48,105,31
3,0.771,"A Laguna",80,11,62,7
2,0.771,"A Laguna",14,1,12,1
1,0.771,"A Laguna",5,0,5,0
6,0.637,"A Maelstrom",70,58,0,12
5,0.637,"A Maelstrom",175,102,45,28
4,0.637,"A Maelstrom",158,70,65,23
3,0.637,"A Maelstrom",109,30,65,14
2,0.637,"A Maelstrom",46,4,41,1
1,0.637,"A Maelstrom",7,2,5,0
0,0.637,"A Maelstrom",49,0,45,4
6,0.723,"A Magnolia",107,79,0,28
5,0.723,"A Magnolia",235,122,65,48
4,0.723,"A Magnolia",178,55,103,20
3,0.723,"A Magnolia",66,12,51,3
2,0.723,"A Magnolia",29,3,25,1
1,0.723,"A Magnolia",3,0,3,0
0,0.723,"A Magnolia",24,0,24,0
6,0.730,"A Maritime",86,64,0,22
5,0.730,"A Maritime",214,113,57,44
4,0.730,"A Maritime",201,69,105,27
3,0.730,"A Maritime",82,11,64,7
2,0.730,"A Maritime",26,0,26,0
1,0.730,"A Maritime",5,0,5,0
6,0.713,"A Memorial",95,73,0,22
5,0.713,"A Memorial",212,112,62,38
4,0.713,"A Memorial",195,65,102,28
3,0.713,"A Memorial",88,16,67,5
2,0.713,"A Memorial",32,6,21,5
1,0.713,"A Memorial",9,0,9,0
0,0.713,"A Memorial",11,0,11,0
6,0.709,"A Meridian",74,62,0,12
5,0.709,"A Meridian",203,122,47,34
4,0.709,"A Meridian",219,70,116,33
3,0.709,"A Meridian",105,14,74,17
2,0.709,"A Meridian",35,3,30,2
1,0.709,"A Meridian",2,0,2,0
0,0.709,"A Meridian",2,0,2,0
6,0.694,"A Metro",84,70,0,14
5,0.694,"A Metro",171,110,33,28
4,0.694,"A Metro",203,75,106,22
3,0.694,"A Metro",119,15,90,14
2,0.694,"A Metro",38,3,31,4
1,0.694,"A Metro",12,0,12,0
0,0.694,"A Metro",1,0,1,0
6,0.779,"A Midland",147,88,0,59
5,0.779,"A Midland",273,124,94,55
4,0.779,"A Midland",188,47,113,28
3,0.779,"A Midland",65,10,47,8
2,0.779,"A Midland",12,0,12,0
1,0.779,"A Midland",2,0,2,0
0,0.779,"A Midland",1,0,1,0
6,0.731,"A Morningstar",98,74,0,24
5,0.731,"A Morningstar",224,127,55,42
4,0.731,"A Morningstar",183,55,110,18
3,0.731,"A Morningstar",94,12,70,12
2,0.731,"A Morningstar",31,0,29,2
1,0.731,"A Morningstar",4,0,4,0
6,0.739,"A Pacific",121,87,0,34
5,0.739,"A Pacific",210,112,66,32
4,0.739,"A Pacific",158,46,95,17
3,0.739,"A Pacific",86,13,62,11
2,0.739,"A Pacific",32,1,31,0
1,0.739,"A Pacific",7,1,6,0
6,0.751,"A Piedmont",138,87,0,51
5,0.751,"A Piedmont",242,118,76,48
4,0.751,"A Piedmont",159,36,98,25
3,0.751,"A Piedmont",54,11,38,5
2,0.751,"A Piedmont",17,1,15,1
1,0.751,"A Piedmont",3,1,2,0
0,0.751,"A Piedmont",25,0,25,0
6,0.692,"A Plaza",65,59,0,6
5,0.692,"A Plaza",190,120,35,35
4,0.692,"A Plaza",211,65,113,33
3,0.692,"A Plaza",121,28,86,7
2,0.692,"A Plaza",36,2,31,3
1,0.692,"A Plaza",11,1,10,0
6,0.736,"A Prairie",142,102,0,40
5,0.736,"A Prairie",254,134,78,42
4,0.736,"A Prairie",200,52,123,25
3,0.736,"A Prairie",89,20,64,5
2,0.736,"A Prairie",18,1,17,0
1,0.736,"A Prairie",2,0,2,0
0,0.736,"A Prairie",25,0,25,0
6,0.676,"A Seaboard",61,54,0,7
